From,To
Великі витрати матеріалів та сировини,Висока собівартість продукції
Висока собівартість продукції,Недостатність власних засобів
Висока собівартість продукції,Низький попит на продукцію
Значна частка пасивної частини ОФ,Висока собівартість продукції
Мала частка ТНВ в обсязі продукції,Низький попит на продукцію
Недостатній аналіз ринку,Низький попит на продукцію
Недостатній аналіз ринку,Мала частка ТНВ в обсязі продукції
Недостатність власних засобів,Низький ступінь оновлення продукції
Недостатність власних засобів,Старіння оборотних фондів ОФ
Низька виконавча дисципліна,Висока собівартість продукції
Низький ступінь оновлення продукції,Низький попит на продукцію
Низький обсяг виробництва,Недостатність власних засобів
Низький попит на продукцію,Низький обсяг виробництва
Низький рівень стратегічного планування,Низька виконавча дисципліна
Низький рівень стратегічного планування,Слабке просування продукції на ринку
Низький рівень стратегічного планування,Мала частка ТНП в обсязі продукції
Низький рівень стратегічного планування,Недостатній аналіз ринку
Слабке просування продукції на ринку,Низький попит на продукцію
Старіння оборотних фондів ОФ,Висока собівартість продукції
Старіння оборотних фондів ОФ,Великі витрати матеріалів і сировини
Старіння оборотних фондів ОФ,Низький ступінь оновлення продукції
